vehicle_type,powertrain,annual_mileage
car,bev,6146.3647641535235
cuv,bev,8969.193480364382
pickup,bev,9535.918067681821
suv,bev,5876.925256957795
car,cv,10772.266583134782
minivan,cv,11717.340535713136
cuv,cv,12027.900883916778
pickup,cv,13482.718038029614
suv,cv,11904.75266902668
car,diesel,8666.567586648762
cuv,diesel,12025.671283308036
minivan,diesel,8847.63524766891
pickup,diesel,14752.511057084226
suv,diesel,12131.758470468545
car,flex,10011.170192642227
cuv,flex,12487.009694631639
pickup,flex,13691.52793684874
minivan,flex,10958.40325118606
car,hev,11149.703091729381
suv,flex,14096.549657641453
pickup,hev,14914.052714367308
suv,hev,13922.487662153359
minivan,hev,9186.375558207013
minivan,bev,5939.186103277784
cuv,hev,12059.884451869413
car,phev,10333.653317726827
cuv,phev,9962.55639217869
suv,phev,9236.63338274581
